time, position, current, duty_cycle, bl, mass
2158, -0.0093349, 0.0000000, 0, 0.0000000, 0.0000000
3219, -0.0110853, 0.0943819, 4, 0.0000000, 0.0000000
4281, -0.0112311, 0.2123593, 9, 0.0000000, 0.0000000
5343, -0.0105018, 0.3303367, 14, 0.0000000, 0.0000000
6405, -0.0107935, 0.4483141, 19, 0.0000000, 0.0000000
7468, -0.0116687, 0.5662916, 24, 0.0000000, 0.0000000
8529, -0.0106477, 0.6842689, 29, 0.0000000, 0.0000000
9591, -0.0109394, 0.8022464, 34, 0.0000000, 0.0000000
10653, -0.0107935, 0.9202238, 39, 0.0000000, 0.0000000
11715, -0.0097725, 1.0382010, 44, 0.0000000, 0.0000000
12778, -0.0102101, 1.1325831, 48, 0.0000000, 0.0000000
13840, -0.0096267, 1.2505604, 53, 0.0000000, 0.0000000
14902, -0.0109394, 1.3449423, 57, 0.0000000, 0.0000000
15964, -0.0103560, 1.4629198, 62, 0.0000000, 0.0000000
17027, -0.0093349, 1.5808972, 67, 0.0000000, 0.0000000
18088, -0.0096267, 1.6752790, 71, 0.0000000, 0.0000000
19150, -0.0100642, 1.7696611, 75, 0.0000000, 0.0000000
20212, -0.0080222, 1.8876385, 80, 0.0000000, 0.0000000
21275, -0.0094808, 1.9820203, 84, 0.0000000, 0.0000000
22337, -0.0088974, 2.0764021, 88, 0.0000000, 0.0000000
23399, -0.0077305, 2.1707842, 92, 0.0000000, 0.0000000
24462, -0.0080222, 2.2415704, 95, 0.0000000, 0.0000000
25524, -0.0051051, 2.3359525, 99, 0.0000000, 0.0000000
26586, -0.0058343, 2.3831436, 101, 0.0000000, 0.0000000
27649, -0.0042299, 2.4303343, 103, 0.0000000, 0.0000000
28711, -0.0039382, 2.4303343, 103, 0.7750263, 0.1920054
29772, -0.0042299, 2.4303343, 103, 0.7750263, 0.1920054
30834, -0.0040840, 2.4303343, 103, 0.7750263, 0.1920054
31895, -0.0052509, 2.4303343, 103, 0.7750263, 0.1920054
32957, -0.0029172, 2.4775254, 105, 0.7750263, 0.1920054
34021, -0.0027713, 2.4775254, 105, 0.7750263, 0.1957337
35082, -0.0043758, 2.4775254, 105, 0.7750263, 0.1957337
36143, -0.0046675, 2.4775254, 105, 0.7750263, 0.1957337
37203, -0.0036465, 2.4775254, 105, 0.7750263, 0.1957337
38264, -0.0035006, 2.4775254, 105, 0.7750263, 0.1957337
39325, -0.0035006, 2.4775254, 105, 0.7750263, 0.1957337
40386, -0.0042299, 2.4775254, 105, 0.7750263, 0.1957337
41448, -0.0024796, 2.4775254, 105, 0.7750263, 0.1957337
42509, -0.0042299, 2.4775254, 105, 0.7750263, 0.1957337
43570, -0.0033547, 2.4775254, 105, 0.7750263, 0.1957337
44631, -0.0052509, 2.4775254, 105, 0.7750263, 0.1957337
